count,index,impulsemeasures,parameters,calculated,measures,key
26,243,"[u'0.81048', u'7020', u'1.4755', u'0.13322', u'70.433']","[u'0.017846', u'0.91', u'-0.0070833', u'156', u'35.923']","[u'0.79954', u'2880', u'-6.8066', u'0.10211', u'555.72']","[u'7.623', u'6118.6', u'-6.8025', u'0.10513', u'548.16']",4793408988119040
27,13,"[u'5.1133', u'2125', u'-15.464', u'0.33289', u'4499.2']","[u'0.027914', u'0.97', u'-0.00525', u'22050', u'10.747']","[u'6.1467', u'1200', u'-19.828', u'0.46494', u'10307']","[u'7.946', u'3381.2', u'-19.846', u'0.47148', u'9519.4']",4797901523910656
26,251,"[u'2.5481', u'3135', u'0.33922', u'0.38284', u'261.74']","[u'0.076893', u'0.89', u'-0.010083', u'344', u'67.769']","[u'3.7382', u'480', u'-14.744', u'0.36116', u'1050.6']","[u'1.2925', u'3362', u'-14.749', u'0.36278', u'1033.1']",4801612375654400
26,24,"[u'5.6444', u'590', u'-10.121', u'0.39374', u'5903.8']","[u'0.065964', u'0.93', u'-0.0095833', u'22050', u'0.60278']","[u'3.5404', u'610', u'9.0907', u'0.48132', u'10307']","[u'6.2813', u'6201.4', u'9.0979', u'0.48194', u'10959']",4805151428706304
26,217,"[u'0.95955', u'3465', u'-2.1835', u'0.131', u'1089.7']","[u'0.057982', u'0.74', u'-0.01125', u'1494', u'4.8788']","[u'0.85358', u'910', u'6.5672', u'0.12162', u'3157.2']","[u'6.6156', u'9111.2', u'6.5669', u'0.1219', u'3075.9']",4810073461227520
28,239,"[u'0.55009', u'5260', u'-8.4069', u'0.057048', u'4757.8']","[u'0.021927', u'0.76', u'-0.00425', u'9379', u'3.148']","[u'0.42296', u'1860', u'2.7543', u'0.049526', u'8708.8']","[u'7.7681', u'3128.9', u'2.761', u'0.053209', u'8224']",4814110730485760
26,1,"[u'0.43302', u'1415', u'-8.8608', u'0.047035', u'7852.5']","[u'0.026916', u'0.65', u'-0.00058333', u'22050', u'25.895']","[u'0.47504', u'1210', u'-14.481', u'0.043497', u'10307']","[u'0.80116', u'1560.6', u'-14.474', u'0.048931', u'10699']",4816790790078464
27,22,"[u'0.85875', u'7995', u'-0.88912', u'0.11285', u'433.67']","[u'0.027914', u'0.85', u'-0.0018333', u'590', u'101.01']","[u'1.1184', u'1160', u'-18.921', u'0.097049', u'1598.2']","[u'7.77', u'2015.5', u'-18.942', u'0.10258', u'1567.2']",4821480894365696
26,245,"[u'4.2047', u'8465', u'-9.1262', u'0.43952', u'671.83']","[u'0.023832', u'0.97', u'-0.00925', u'995', u'2.1156']","[u'2.5025', u'2340', u'4.6544', u'0.3956', u'2362.3']","[u'3.4521', u'9759.8', u'4.6222', u'0.40225', u'2308.4']",4826634855120896
27,14,"[u'0.26855', u'5420', u'4.916', u'0.060379', u'331.59']","[u'0.040839', u'0.53', u'0.002', u'440', u'12.676']","[u'0.27129', u'590', u'8.1363', u'0.051577', u'1274.5']","[u'6.8497', u'880.24', u'8.1218', u'0.058525', u'1251.3']",4836238401994752
27,26,"[u'0.16686', u'5890', u'4.371', u'0.040495', u'429.43']","[u'0.03195', u'0.39', u'0.0065', u'571', u'96.359']","[u'0.22104', u'730', u'-7.6181', u'0.03317', u'1558.7']","[u'0.82757', u'933.91', u'-7.6171', u'0.042165', u'1527.6']",4838068058062848
26,18,"[u'0.077676', u'1455', u'-5.8761', u'0.021504', u'7456.1']","[u'0.018798', u'0.05', u'0.00575', u'22050', u'291.55']","[u'0.059875', u'1460', u'-14.667', u'0.014589', u'10307']","[u'0.82335', u'1689.4', u'-14.93', u'0.023419', u'10081']",4854500602937344
26,244,"[u'2.2242', u'1210', u'-9.7493', u'0.18822', u'6024.5']","[u'0.051995', u'0.88', u'-0.0070833', u'22050', u'1.011']","[u'1.7845', u'720', u'7.2859', u'0.22372', u'10307']","[u'2.644', u'2003.3', u'7.2663', u'0.227', u'10773']",4859242246832128
27,6,"[u'0.055862', u'2635', u'9.2531', u'0.031303', u'184.92']","[u'0.029955', u'0.01', u'0.0086667', u'310', u'354.01']","[u'0.044083', u'780', u'9.1703', u'0.022331', u'967.47']","[u'7.4587', u'885.99', u'9.292', u'0.032525', u'951.79']",4861819227209728
26,252,"[u'1.5319', u'2120', u'-7.496', u'0.14612', u'3659.6']","[u'0.055941', u'0.8', u'-0.0083333', u'6800', u'1.9091']","[u'1.1603', u'620', u'7.0095', u'0.14937', u'7691.9']","[u'7.9269', u'2408', u'7.0243', u'0.15108', u'7323.5']",4868270268088320
26,25,"[u'0.78456', u'7070', u'1.8695', u'0.12006', u'217.61']","[u'0.027914', u'0.85', u'-0.01', u'328', u'87.873']","[u'1.0013', u'2090', u'-15.165', u'0.097115', u'1011.8']","[u'7.1207', u'9778.2', u'-15.185', u'0.098642', u'994.22']",4878406390906880
26,17,"[u'5.2222', u'1050', u'-9.4628', u'0.39557', u'4632.7']","[u'0.080975', u'0.91', u'-0.011333', u'10800', u'0.74377']","[u'3.3749', u'500', u'9.6059', u'0.46247', u'9104.6']","[u'7.4389', u'9586.1', u'9.6049', u'0.46314', u'8565']",4881850954678272
26,240,"[u'2.3053', u'990', u'-9.5723', u'0.20185', u'5559.5']","[u'0.091995', u'0.78', u'-0.010833', u'12426', u'35.894']","[u'2.9113', u'330', u'-19.62', u'0.22481', u'9455.9']","[u'7.2207', u'2890.2', u'-19.619', u'0.22518', u'8861.1']",4887159534256128
