count,index,parameters,key
4,189,"[u'-31.46759', u'5.09064', u'3.71250', u'0.03170', u'0.81354']",5984141963165696
4,167,"[u'-47.36830', u'38.55481', u'3.22576', u'0.03886', u'0.18055']",5989177275449344
4,84,"[u'-27.67838', u'39.44417', u'12.17887', u'0.00918', u'0.23128']",5991714795814912
4,81,"[u'-77.23247', u'1.73562', u'3.77031', u'0.04043', u'0.95383']",5997474078523392
4,126,"[u'-73.68366', u'20.15123', u'3.88507', u'0.00074', u'0.97070']",6001622211624960
5,69,"[u'-96.31708', u'9.18410', u'2.48635', u'0.04798', u'0.66402']",6004121614155776
5,94,"[u'-36.60643', u'37.84921', u'15.39894', u'0.02911', u'0.01134']",6014043525480448
4,117,"[u'-28.71494', u'9.19544', u'19.23258', u'0.01218', u'0.71591']",6022506221666304
5,140,"[u'-85.00514', u'37.44109', u'4.79858', u'0.01932', u'0.02391']",6030803024740352
5,151,"[u'-89.53304', u'33.10929', u'3.51342', u'0.01650', u'0.05183']",6050490617954304
4,248,"[u'-93.50030', u'4.06136', u'9.73764', u'0.03614', u'0.86852']",6144859102511104
5,79,"[u'-60.31932', u'37.80854', u'8.97084', u'0.00262', u'0.98402']",6192449487634432
4,108,"[u'-93.29857', u'29.22341', u'4.20512', u'0.04154', u'0.04653']",6194936005263360
4,34,"[u'-65.49866', u'3.03869', u'1.08237', u'0.04418', u'0.88633']",6197422522892288
4,83,"[u'-71.20335', u'0.39209', u'1.57513', u'0.01755', u'0.91893']",6199268285087744
4,23,"[u'-35.98862', u'3.59995', u'1.28222', u'0.00877', u'0.13549']",6202395558150144
4,114,"[u'-73.05384', u'7.27922', u'5.05108', u'0.00387', u'0.99262']",6207356513812480
5,160,"[u'-28.46285', u'35.41438', u'5.95185', u'0.04478', u'0.54867']",6211504244260864
5,162,"[u'-41.81286', u'24.41228', u'18.81154', u'0.00258', u'0.78522']",6212000178765824
4,31,"[u'-93.49651', u'25.85208', u'1.37553', u'0.04977', u'0.79367']",6212341628665856
4,112,"[u'-30.80101', u'24.72402', u'2.61494', u'0.04725', u'0.26947']",6217263929622528
4,59,"[u'-83.91692', u'33.06296', u'17.43125', u'0.04999', u'0.82240']",6222263539990528
5,41,"[u'-61.64567', u'0.86224', u'2.31630', u'0.00364', u'0.87319']",6227198725849088
5,137,"[u'-86.21051', u'20.08802', u'2.02266', u'0.00468', u'0.85789']",6231550869897216
4,176,"[u'-37.16367', u'7.72981', u'1.96228', u'0.02876', u'0.09836']",6232494152089600
4,77,"[u'-29.50141', u'27.32755', u'1.90903', u'0.03989', u'0.82911']",6239023039250432
4,76,"[u'-64.12374', u'4.91260', u'19.50964', u'0.00031', u'0.74444']",6243983994912768
5,46,"[u'-25.58652', u'5.35122', u'11.75230', u'0.00401', u'0.10841']",6245567495667712
4,72,"[u'-29.47142', u'35.29945', u'6.27461', u'0.01806', u'0.00779']",6255412097581056
5,203,"[u'-90.24558', u'19.30686', u'17.87943', u'0.04821', u'0.25362']",6263255781605376
4,131,"[u'-99.71010', u'17.26885', u'14.31615', u'0.04799', u'0.14946']",6265616939876352
5,86,"[u'-40.41206', u'39.53757', u'18.32591', u'0.03548', u'0.78139']",6270652252160000
4,61,"[u'-39.40213', u'36.40781', u'1.67622', u'0.04595', u'0.49948']",6273189772525568
4,40,"[u'-95.08038', u'7.63946', u'17.53903', u'0.04832', u'0.80860']",6278949055234048
5,51,"[u'-76.58471', u'9.72581', u'19.46969', u'0.04834', u'0.89998']",6283097188335616
4,42,"[u'-71.00956', u'36.04232', u'5.35991', u'0.04975', u'0.00472']",6285596590866432
4,75,"[u'-31.15534', u'34.01429', u'3.29900', u'0.04569', u'0.32529']",6295518502191104
4,78,"[u'-95.42512', u'3.77114', u'16.62420', u'0.03749', u'0.07409']",6303981198376960
4,85,"[u'-94.27567', u'1.00602', u'2.28792', u'0.03661', u'0.28550']",6312278001451008
4,204,"[u'-33.81196', u'2.84938', u'9.09478', u'0.04530', u'0.70945']",6323770260193280
4,70,"[u'-31.06468', u'36.04832', u'15.44652', u'0.02586', u'0.00101']",6331965594664960
5,239,"[u'-34.76136', u'39.15942', u'13.16369', u'0.01991', u'0.11633']",6333186975989760
5,251,"[u'-92.86607', u'36.90978', u'10.49333', u'0.04326', u'0.23918']",6338160011247616
