likert,effectTime,didnotagree,rawwords,agreed,when,userid,effect,param,quiet,surveyID,sessionid,key,useragent,ind,cleanTime,irb,words,audioFile,listen
1,44.242,,"soften,lullaby,bright",,2016-03-11T21:31:53,UXrEk9FdVZYY39AWa2xh,compression,"-99.1684,13.6658,4.3296,0.0061,0.9096",yes,eLp8F2LR9fuGQNaYR2IG,uZdm6StFKFpGGmwcOMfi,4647746514452480,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",74,15.103,true,"soften,lullaby,bright",/static/audio/vocals2.wav,standalone
1,25.072,"refined,elegant,effective,none of the above","amplified,louder","sharp,clear",2016-04-08T18:01:58,j7QRMQqn2eEr2yGQHX1z,compression,"-38.1257,0.0137,15.2056,0.0235,0.9506",yes,1oA6dwIj9580laYRaQJ9,WVhlllg2Ykf8QMSxQWkw,4653668066394112,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",105,44.125,true,"amplified,louder",/static/audio/vocals2.wav,headphones
0,7.188,none of the above,"clear,shiny,fine,free",normal,2016-03-11T23:12:10,sZI2XyRJyeCzv60bGdmd,compression,"-35.2051,29.9929,1.3263,0.0463,0.0651",yes,O9Sc5NnwR1t5lQ8iZm1c,kcajly7nIGV7I5wsrIl3,4654112461291520,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36",14,25.774,true,"clear,shiny,fine,free",/static/audio/guitar4.wav,headphones
3,59.018,"high-ceilinged,inconsequential","soft,quiet,thumpy",none of the above,2016-03-12T04:13:54,Q4h9kk7uz4tJEJDPbAOn,compression,"-95.7256,29.3982,19.0659,0.0430,0.4904",yes,PFwq69xjzBpUA5skAHVJ,HBsP15L7CmaUzIKcFKKV,4657823313035264,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",165,34.389,true,"soft,quiet,thumps",/static/audio/drums4.wav,standalone
1,15.516,,"louder,increase-volume,echo",,2016-03-11T21:19:42,IDqj14ejzwsFOiLRYX8o,compression,"-59.3415,39.6681,2.4723,0.0004,0.3599",yes,aC0c37rwVlaKCgUz7BzQ,YiEfIT1PS3QLbYKR6XYO,4660622021099520,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",54,31.732,true,"louder,increase-volume,echo",/static/audio/vocals2.wav,headphones
2,68.854,"sparse,precise,lively,clearer,quiet,microphone-feedback,none of the above",hallway,"hollow,underwater",2016-04-08T18:18:28,91L5iSINKtQ7PHaJpVpe,compression,"-93.5003,4.0614,9.7376,0.0361,0.8685",yes,62BfS3W19xsOyi1gjEit,SuzHlnVO5KNqEce4tbN5,4662486305341440,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",248,16.832,true,hallway,/static/audio/vocals2.wav,headphones
1,8.944,"vibrant,interesting-drums-sound,fuller,more-volume,richer,none of the above",melody,classical,2016-04-08T20:36:32,SP7bomdMYtJS05txXuwK,compression,"-88.3232,35.7453,1.6921,0.0235,0.2631",yes,er8JuusNlAedL1n4FYUN,ppbVODQbhyOV398EFQL5,4664359447953408,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2700.0 Safari/537.36",244,80.941,true,melody,/static/audio/guitar4.wav,headphones
0,34.027,"sharp,ringing,background-noise,echo,none of the above",clicky,subdued,2016-04-08T19:03:37,hgUbiboJHZWcYeH3yHL6,compression,"-93.4099,36.4075,1.7965,0.0317,0.5965",yes,mLVubsyFiNvKjgWLKp2J,bmI8rFLApXX4IwiqRqbt,4665962007625728,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",177,78.223,true,colicky,/static/audio/guitar4.wav,headphones
1,12.153,"lingering,ringing,warm,stretching,echoing,rhythmic,none of the above",clarified,heightens,2016-04-08T18:28:49,6PaoYiZ3yvhFMQ9YfODa,compression,"-37.8031,1.8477,7.9356,0.0493,0.4189",yes,vIHiiMYSk7D5BaNeytdg,z7nVfEogdirU1FgUfvMw,4667221238349824,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",164,34.791,true,clarified,/static/audio/vocals2.wav,headphones
0,52.228,muted,"soft,in-room,close-quarters",none of the above,2016-03-12T00:28:21,zelzxuHCaeDu4aIjHZO0,compression,"-64.1872,0.2939,1.2678,0.0291,0.2497",yes,R7mUXMZUVwyUvssKexGz,jy6k9lzfKRNwzCZdDYK0,4667623891533824,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",222,53.217,true,"soft,in-room,close-quarters",/static/audio/vocals2.wav,headphones
